Sample	SeqClass	NumIssues
HG00096	AMPL	0
HG00096	DYZ19	0
HG00096	SAT	0
HG00096	CEN-DYZ3	0
HG00096	XDR	0
HG00096	TEL	1
HG00096	HET	>4
HG00096	XTR	0
HG00096	PAR1	1
HG00096	PAR2	0
HG00096	OTHER	0
HG00096	UNASSIGNED	0
HG00126	AMPL	0
HG00126	DYZ19	0
HG00126	SAT	0
HG00126	CEN-DYZ3	0
HG00126	XDR	0
HG00126	TEL	0
HG00126	HET	0
HG00126	XTR	0
HG00126	PAR1	1
HG00126	PAR2	0
HG00126	OTHER	0
HG00126	UNASSIGNED	0
HG00140	AMPL	3
HG00140	DYZ19	0
HG00140	SAT	2
HG00140	CEN-DYZ3	3
HG00140	XDR	2
HG00140	TEL	1
HG00140	HET	0
HG00140	XTR	0
HG00140	PAR1	4
HG00140	PAR2	0
HG00140	OTHER	1
HG00140	UNASSIGNED	0
HG00280	AMPL	>4
HG00280	DYZ19	0
HG00280	SAT	1
HG00280	CEN-DYZ3	4
HG00280	XDR	1
HG00280	TEL	1
HG00280	HET	0
HG00280	XTR	0
HG00280	PAR1	0
HG00280	PAR2	0
HG00280	OTHER	1
HG00280	UNASSIGNED	0
HG00290	AMPL	4
HG00290	DYZ19	0
HG00290	SAT	0
HG00290	CEN-DYZ3	1
HG00290	XDR	1
HG00290	TEL	0
HG00290	HET	2
HG00290	XTR	0
HG00290	PAR1	0
HG00290	PAR2	0
HG00290	OTHER	1
HG00290	UNASSIGNED	0
HG00321	AMPL	1
HG00321	DYZ19	0
HG00321	SAT	4
HG00321	CEN-DYZ3	4
HG00321	XDR	0
HG00321	TEL	0
HG00321	HET	>4
HG00321	XTR	0
HG00321	PAR1	0
HG00321	PAR2	0
HG00321	OTHER	2
HG00321	UNASSIGNED	0
HG00329	AMPL	0
HG00329	DYZ19	0
HG00329	SAT	2
HG00329	CEN-DYZ3	3
HG00329	XDR	0
HG00329	TEL	0
HG00329	HET	2
HG00329	XTR	0
HG00329	PAR1	0
HG00329	PAR2	0
HG00329	OTHER	1
HG00329	UNASSIGNED	0
HG00358	AMPL	0
HG00358	DYZ19	0
HG00358	SAT	0
HG00358	CEN-DYZ3	0
HG00358	XDR	0
HG00358	TEL	0
HG00358	HET	2
HG00358	XTR	0
HG00358	PAR1	0
HG00358	PAR2	0
HG00358	OTHER	0
HG00358	UNASSIGNED	0
HG00512	AMPL	0
HG00512	DYZ19	0
HG00512	SAT	0
HG00512	CEN-DYZ3	1
HG00512	XDR	0
HG00512	TEL	1
HG00512	HET	>4
HG00512	XTR	0
HG00512	PAR1	>4
HG00512	PAR2	0
HG00512	OTHER	0
HG00512	UNASSIGNED	0
HG005	AMPL	0
HG005	DYZ19	0
HG005	SAT	2
HG005	CEN-DYZ3	>4
