Phylogenetic_order	ID
1	HG02984
2	HG01890
3	HG02647
4	HG02666
5	HG02668
6	HG03225
7	NA19043
8	NA19384
9	HG005
10	NA18952
11	NA18983
12	HG02572
13	HG03248
14	HG03098
15	HG03050
16	NA19239
17	HG01074
18	HG01109
19	HG01106
20	NA19331
21	HG01252
22	HG01457
23	HG03065
24	HG02717
25	HG03471
26	HG02011
27	HG03371
28	HG02486
29	HG02965
30	HG03139
31	NA19443
32	NA19317
33	NA19347
34	NA20346
35	HG02145
36	HG02258
37	HG02953
38	HG03130
39	HG03521
40	HG02554
41	NA18879
42	HG03209
43	NA18522
44	NA19700
45	HG02055
46	NA19705
47	NA18612
48	NA18620
49	HG04157
50	NA18989
51	NA18971
52	NA18974
53	HG02040
54	NA20870
55	HG03710
56	HG01099
57	HG03579
58	NA21093
59	HG04187
60	HG03009
61	HG03942
62	HG01167
63	HG00140
64	HG00321
65	NA20905
66	HG02492
67	HG02735
68	NA20805
69	NA20809
70	HG01255
71	HG01258
72	HG01433
73	HG003
74	HG002
75	HG03688
76	HG04199
77	HG01192
78	HG01530
79	HG03742
80	NA18608
81	NA18747
82	HG00280
83	HG00329
84	HG00290
85	HG00358
86	HG02015
87	HG02083
88	HG02514
89	HG02074
90	NA18534
91	HG02027
92	HG02392
93	HG00609
94	HG01596
95	HG00621
96	HG02391
97	HG00512
98	HG02056
99	HG02071
100	HG02135
101	HG02129
102	HG00673
103	HG00658
104	HG00706
105	HG03654
106	HG02132
107	HG02698
108	HG01952
109	HG01928
110	NA19682
111	HG03017
112	HG03732
113	HG04160
114	HG04228
115	HG04115
116	HG02602
117	HG04204
118	HG03492
119	HG02738
120	NA20850
121	HG00642
122	200084
123	200080
124	200085
125	HG00096
126	HG01505
127	NA12884
128	NA12883
129	NA12886
130	NA12877
131	NA12882
132	HG01943
133	HG01358
134	NA19650
135	HG00738
136	NA20509
137	HG00731
138	HG01243
139	HG00126
140	NA20752
141	HG01261
142	HG01934
