Sample	SeqClass	NumIssues	ClassLength	IssueLength	IssueType
200080	AMPL	21	9827088	1038	ERRBASE
200080	CEN-DYZ3	0	329678	0	ERRBASE
200080	DYZ19	0	403833	0	ERRBASE
200080	HET	2	26301902	103	ERRBASE
200080	OTHER	0	375949	0	ERRBASE
200080	PAR1	74	2463319	5318	ERRBASE
200080	PAR2	1	322390	46	ERRBASE
200080	SAT	5	2091800	279	ERRBASE
200080	TEL	0	7153	0	ERRBASE
200080	UNASSIGNED	0	416	0	ERRBASE
200080	XDR	16	8668495	632	ERRBASE
200080	XTR	10	3403223	396	ERRBASE
200084	AMPL	46	9509198	2358	ERRBASE
200084	CEN-DYZ3	0	329678	0	ERRBASE
200084	DYZ19	0	403833	0	ERRBASE
200084	HET	3	26331125	153	ERRBASE
200084	OTHER	2	375949	72	ERRBASE
200084	PAR1	306	2488212	18972	ERRBASE
200084	PAR2	0	322388	0	ERRBASE
200084	SAT	11	2091808	481	ERRBASE
200084	TEL	0	11124	0	ERRBASE
200084	UNASSIGNED	0	416	0	ERRBASE
200084	XDR	41	8668479	1713	ERRBASE
200084	XTR	8	3403218	458	ERRBASE
200085	AMPL	57	9520425	3688	ERRBASE
200085	CEN-DYZ3	0	329678	0	ERRBASE
200085	DYZ19	0	403833	0	ERRBASE
200085	HET	0	24629052	0	ERRBASE
200085	OTHER	3	375946	144	ERRBASE
200085	PAR1	362	2681488	21439	ERRBASE
200085	PAR2	1	322389	51	ERRBASE
200085	SAT	3	2091806	133	ERRBASE
200085	TEL	0	7483	0	ERRBASE
200085	UNASSIGNED	0	416	0	ERRBASE
200085	XDR	26	8668504	1140	ERRBASE
200085	XTR	15	3403231	596	ERRBASE
NA12877	AMPL	23	9791647	908	ERRBASE
NA12877	CEN-DYZ3	0	358627	0	ERRBASE
NA12877	DYZ19	0	400080	0	ERRBASE
NA12877	HET	11	23779306	578	ERRBASE
NA12877	OTHER	1	375949	36	ERRBASE
NA12877	PAR1	135	2310157	9815	ERRBASE
NA12877	PAR2	2	331102	110	ERRBASE
NA12877	SAT	15	2071374	817	ERRBASE
NA12877	TEL	0	12840	0	ERRBASE
NA12877	UNASSIGNED	0	416	0	ERRBASE
NA12877	XDR	29	8668608	1141	ERRBASE
NA12877	XTR	17	3403596	775	ERRBASE
NA12882	AMPL	22	9791588	947	ERRBASE
NA12882	CEN-DYZ3	0	347053	0	ERRBASE
NA12882	DYZ19	0	400080	0	ERRBASE
NA12882	HET	12	23748905	2261	ERRBASE
NA12882	OTHER	1	375946	36	ERRBASE
NA12882	PAR1	232	2423386	15286	ERRBASE
NA12882	PAR2	3	331095	106	ERRBASE
NA12882	SAT	19	2071356	1300	ERRBASE
NA12882	TEL	0	19220	0	ERRBASE
NA12882	UNASSIGNED	0	416	0	ERRBASE
NA12882	XDR	24	8668563	986	ERRBASE
NA12882	XTR	8	3403567	519	ERRBASE
NA12883	AMPL	19	9791552	847	ERRBASE
NA12883	CEN-DYZ3	0	358627	0	ERRBASE
NA12883	DYZ19	0	400080	0	ERRBASE
NA12883	HET	66	23862214	5591	ERRBASE
NA12883	OTHER	1	375948	52	ERRBASE
NA12883	PAR1	276	2423326	17700	ERRBASE
NA12883	PAR2	2	331092	104	ERRBASE
NA12883	SAT	24	2071355	1315	ERRBASE
NA12883	TEL	0	13366	0	ERRBASE
NA12883	UNASSIGNED	0	416	0	ERRBASE
NA12883	XDR	9	8668559	353	ERRBASE
NA12883	XTR	11	3403580	582	ERRBASE
NA12884	AMPL	15	9791696	608	ERRBASE
NA12884	CEN-DYZ3	0	358627	0	ERRBASE
NA12884	DYZ19	0	400080	0	ERRBASE
NA12884	HET	2	23773849	103	ERRBASE
NA12884	OTHER	2	375950	84	ERRBASE
NA12884	PAR1	806	1340097	62787	ERRBASE
NA12884	PAR2	8	319095	525	ERRBASE
NA12884	SAT	8	2071381	390	ERRBASE
NA12884	UNASSIGNED	1	446	30	ERRBASE
NA12884	XDR	18	8668614	751	ERRBASE
NA12884	XTR	5	3403597	171	ERRBASE
NA12886	AMPL	36	9791600	1481	ERRBASE
NA12886	CEN-DYZ3	0	358627	0	ERRBASE
NA12886	DYZ19	0	400080	0	ERRBASE
NA12886	HET	55	23778467	2963	ERRBASE
NA12886	OTHER	2	375943	79	ERRBASE
NA12886	PAR1	456	2421920	32529	ERRBASE
NA12886	PAR2	2	331101	90	ERRBASE
NA12886	SAT	19	2071370	1134	ERRBASE
NA12886	TEL	0	19302	0	ERRBASE
NA12886	UNASSIGNED	0	416	0	ERRBASE
NA12886	XDR	35	8668546	1470	ERRBASE
NA12886	XTR	11	3403578	583	ERRBASE
HG00096	AMPL	14	9818857	599	ERRBASE
HG00096	CEN-DYZ3	0	323712	0	ERRBASE
HG00096	DYZ19	0	406445	0	ERRBASE
HG00096	HET	60	25071797	4149	ERRBASE
HG00096	OTHER	1	375962	32	ERRBASE
HG00096	PAR1	113	2420508	6973	ERRBASE
HG00096	PAR2	2	332678	110	ERRBASE
HG00096	SAT	8	2069098	322	ERRBASE
HG00096	TEL	0	7271	0	ERRBASE
HG00096	UNASSIGNED	0	416	0	ERRBASE
HG00096	XDR	27	8668531	2576	ERRBASE
HG00096	XTR	16	3403200	1163	ERRBASE
HG00358	AMPL	23	7889811	945	ERRBASE
HG00358	CEN-DYZ3	0	1093555	0	ERRBASE
HG00358	DYZ19	0	353659	0	ERRBASE
HG00358	HET	1	32212610	41	ERRBASE
HG00358	OTHER	0	375989	0	ERRBASE
HG00358	PAR1	125	2405769	8628	ERRBASE
HG00358	PAR2	1	331060	37	ERRBASE
HG00358	SAT	9	2177427	455	ERRBASE
HG00358	TEL	0	15793	0	ERRBASE
HG00358	UNASSIGNED	0	180	0	ERRBASE
HG00358	XDR	28	8668122	2510	ERRBASE
HG00358	XTR	22	3387386	1504	ERRBASE
HG00512	AMPL	16	9903950	788	ERRBASE
HG00512	CEN-DYZ3	5	1101350	301	ERRBASE
HG00512	DYZ19	0	282932	0	ERRBASE
HG00512	HET	3	53208020	188	ERRBASE
