Sample	SeqClass	NumIssues	ClassLength	IssueLength	IssueType
200080	AMPL	0	9827088	0	ERRSTRUCT
200080	CEN-DYZ3	0	329678	0	ERRSTRUCT
200080	DYZ19	0	403833	0	ERRSTRUCT
200080	HET	0	26301902	0	ERRSTRUCT
200080	OTHER	0	375949	0	ERRSTRUCT
200080	PAR1	0	2463319	0	ERRSTRUCT
200080	PAR2	0	322390	0	ERRSTRUCT
200080	SAT	0	2091800	0	ERRSTRUCT
200080	TEL	0	7153	0	ERRSTRUCT
200080	UNASSIGNED	0	416	0	ERRSTRUCT
200080	XDR	0	8668495	0	ERRSTRUCT
200080	XTR	0	3403223	0	ERRSTRUCT
200080	AMPL	0	9827088	0	NGAP
200080	CEN-DYZ3	0	329678	0	NGAP
200080	DYZ19	0	403833	0	NGAP
200080	HET	0	26301902	0	NGAP
200080	OTHER	0	375949	0	NGAP
200080	PAR1	0	2463319	0	NGAP
200080	PAR2	0	322390	0	NGAP
200080	SAT	0	2091800	0	NGAP
200080	TEL	0	7153	0	NGAP
200080	UNASSIGNED	0	416	0	NGAP
200080	XDR	0	8668495	0	NGAP
200080	XTR	0	3403223	0	NGAP
200084	AMPL	0	9509198	0	ERRSTRUCT
200084	CEN-DYZ3	0	329678	0	ERRSTRUCT
200084	DYZ19	0	403833	0	ERRSTRUCT
200084	HET	0	26331125	0	ERRSTRUCT
200084	OTHER	0	375949	0	ERRSTRUCT
200084	PAR1	2	2488212	1000	ERRSTRUCT
200084	PAR2	0	322388	0	ERRSTRUCT
200084	SAT	0	2091808	0	ERRSTRUCT
200084	TEL	0	11124	0	ERRSTRUCT
200084	UNASSIGNED	0	416	0	ERRSTRUCT
200084	XDR	0	8668479	0	ERRSTRUCT
200084	XTR	0	3403218	0	ERRSTRUCT
200084	AMPL	1	9509198	7500	NGAP
200084	CEN-DYZ3	0	329678	0	NGAP
200084	DYZ19	0	403833	0	NGAP
200084	HET	0	26331125	0	NGAP
200084	OTHER	0	375949	0	NGAP
200084	PAR1	1	2488212	100000	NGAP
200084	PAR2	0	322388	0	NGAP
200084	SAT	0	2091808	0	NGAP
200084	TEL	0	11124	0	NGAP
200084	UNASSIGNED	0	416	0	NGAP
200084	XDR	0	8668479	0	NGAP
200084	XTR	0	3403218	0	NGAP
200085	AMPL	0	9520425	0	ERRSTRUCT
200085	CEN-DYZ3	0	329678	0	ERRSTRUCT
200085	DYZ19	0	403833	0	ERRSTRUCT
200085	HET	0	24629052	0	ERRSTRUCT
200085	OTHER	0	375946	0	ERRSTRUCT
200085	PAR1	1	2681488	829	ERRSTRUCT
